quake_code,Anno,Mese,Giorno,Luogo,Magnitudo,Latitudine,Longitudine,cfti_url
38537,1974,12,2,Valnerina,5.2,42.8141,12.9271,https://storing.ingv.it/cfti/cfti5/quake.php?38537IT=
38578,1975,1,16,Stretto di Messina,5.3,38.1148,15.6431,https://storing.ingv.it/cfti/cfti5/quake.php?38578IT=
38902,1976,5,6,Friuli,6.5,46.235,13.0572,https://storing.ingv.it/cfti/cfti5/quake.php?38902IT=
39344,1976,9,11,Friuli,5.7,46.273,13.1758,https://storing.ingv.it/cfti/cfti5/quake.php?39344IT=
39414,1976,9,15,Friuli,6.1,46.2587,13.1101,https://storing.ingv.it/cfti/cfti5/quake.php?39414IT=
40131,1978,3,11,Calabria meridionale,5.5,38.0115,15.9765,https://storing.ingv.it/cfti/cfti5/quake.php?40131IT=
40169,1978,4,15,Golfo di Patti,5.7,38.1251,15.022,https://storing.ingv.it/cfti/cfti5/quake.php?40169IT=
40785,1979,9,19,Valnerina,5.8,42.7173,13.0752,https://storing.ingv.it/cfti/cfti5/quake.php?40785IT=
41752,1980,11,23,Irpinia-Basilicata,6.7,40.8428,15.2832,https://storing.ingv.it/cfti/cfti5/quake.php?41752IT=
41860,1980,12,23,Piacentino,5.2,44.8023,9.7565,https://storing.ingv.it/cfti/cfti5/quake.php?41860IT=
42004,1349,9,9,Aquilano,6.1,42.2711,13.1318,https://storing.ingv.it/cfti/cfti5/quake.php?42004IT=
42005,1349,9,9,Viterbese-Umbria,6.4,42.5117,11.9317,https://storing.ingv.it/cfti/cfti5/quake.php?42005IT=
42006,1091,1,27,Roma,5.1,41.896,12.4822,https://storing.ingv.it/cfti/cfti5/quake.php?42006IT=
42007,1982,3,21,Golfo di Policastro,5.4,40.0085,15.7661,https://storing.ingv.it/cfti/cfti5/quake.php?42007IT=
42008,1983,11,9,Parmense,5.3,44.7557,10.2652,https://storing.ingv.it/cfti/cfti5/quake.php?42008IT=
42009,1984,4,29,Umbria settentrionale,5.6,43.2102,12.5104,https://storing.ingv.it/cfti/cfti5/quake.php?42009IT=
42010,1984,5,7,Appennino abruzzese,5.8,41.6671,14.0571,https://storing.ingv.it/cfti/cfti5/quake.php?42010IT=
42011,1990,12,13,Sicilia sud-orientale,5.4,37.2617,14.9837,https://storing.ingv.it/cfti/cfti5/quake.php?42011IT=
42013,1984,5,11,Appennino abruzzese,5.4,41.7152,14.0759,https://storing.ingv.it/cfti/cfti5/quake.php?42013IT=
42015,1730,10,23,Gubbio (PG),5.4,43.3522,12.5771,https://storing.ingv.it/cfti/cfti5/quake.php?42015IT=
42018,1832,12,4,Alta valle del Chienti,5.3,43.0058,13.0701,https://storing.ingv.it/cfti/cfti5/quake.php?42018IT=
42019,1838,8,5,Valnerina,5.1,42.8775,12.8842,https://storing.ingv.it/cfti/cfti5/quake.php?42019IT=
42020,1455,2,6,Media valle del Reno,5.6,44.334,11.1831,https://storing.ingv.it/cfti/cfti5/quake.php?42020IT=
42021,1172,9,26,Messina,5.6,38.1877,15.5493,https://storing.ingv.it/cfti/cfti5/quake.php?42021IT=
42023,1258,2,19,Barrea (AQ),5.6,41.7568,13.9924,https://storing.ingv.it/cfti/cfti5/quake.php?42023IT=
42024,1280,,,Napoli,5,40.856,14.2603,https://storing.ingv.it/cfti/cfti5/quake.php?42024IT=
42025,1295,9,1,Sicilia,5.8,37.5,14,https://storing.ingv.it/cfti/cfti5/quake.php?42025IT=
42026,1303,8,,Medio Adriatico,5.6,43.7676,14.0246,https://storing.ingv.it/cfti/cfti5/quake.php?42026IT=
42028,1558,2,9,Alta Valtiberina,5.1,43.514,12.1898,https://storing.ingv.it/cfti/cfti5/quake.php?42028IT=
