quake_code,pdf_r_url
00018,https://storing.ingv.it/cfti/cfti5/pdf_R/000003-000002_R.pdf
00018,https://storing.ingv.it/cfti/cfti5/pdf_R/000003-000003_R.pdf
00018,https://storing.ingv.it/cfti/cfti5/pdf_R/000003-030166_R.pdf
00018,https://storing.ingv.it/cfti/cfti5/pdf_R/000003-080937_R.pdf
00018,https://storing.ingv.it/cfti/cfti5/pdf_R/000003-091411_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-000001_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-000002_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-000003_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-010002_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-080937_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090068_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090080_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090083_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090084_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090088_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090092_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090093_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090106_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090109_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090110_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090111_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090118_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090126_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090127_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090153_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090155_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090157_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090160_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090184_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090186_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090194_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090196_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090206_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090216_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090218_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090219_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090223_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090224_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090236_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090242_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090261_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090262_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090270_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090351_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090352_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090354_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090358_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090365_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090366_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090370_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-090400_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-091267_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-091270_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-091273_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-091275_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-091411_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-160059_R.pdf
00035,https://storing.ingv.it/cfti/cfti5/pdf_R/000007-590032_R.pdf
00036,https://storing.ingv.it/cfti/cfti5/pdf_R/003128-000001_R.pdf
00036,https://storing.ingv.it/cfti/cfti5/pdf_R/003128-000002_R.pdf
00036,https://storing.ingv.it/cfti/cfti5/pdf_R/003128-000003_R.pdf
00036,https://storing.ingv.it/cfti/cfti5/pdf_R/003128-090127_R.pdf
00036,https://storing.ingv.it/cfti/cfti5/pdf_R/003128-091411_R.pdf
00039,https://storing.ingv.it/cfti/cfti5/pdf_R/003051-000001_R.pdf
00039,https://storing.ingv.it/cfti/cfti5/pdf_R/003051-000002_R.pdf
00039,https://storing.ingv.it/cfti/cfti5/pdf_R/003051-000003_R.pdf
00039,https://storing.ingv.it/cfti/cfti5/pdf_R/003051-080937_R.pdf
00046,https://storing.ingv.it/cfti/cfti5/pdf_R/003043-000001_R.pdf
00046,https://storing.ingv.it/cfti/cfti5/pdf_R/003043-000002_R.pdf
00046,https://storing.ingv.it/cfti/cfti5/pdf_R/003043-000003_R.pdf
00046,https://storing.ingv.it/cfti/cfti5/pdf_R/003043-091334_R.pdf
00046,https://storing.ingv.it/cfti/cfti5/pdf_R/003043-091411_R.pdf
00046,https://storing.ingv.it/cfti/cfti5/pdf_R/003043-190098_R.pdf
00046,https://storing.ingv.it/cfti/cfti5/pdf_R/003043-680027_R.pdf
00046,https://storing.ingv.it/cfti/cfti5/pdf_R/003043-700196_R.pdf
00057,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-000001_R.pdf
00057,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-000002_R.pdf
00057,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-000003_R.pdf
00057,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-050007_R.pdf
00057,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-090126_R.pdf
00057,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-091411_R.pdf
00058,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-000001_R.pdf
00058,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-000002_R.pdf
00058,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-000003_R.pdf
00058,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-050007_R.pdf
00058,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-090126_R.pdf
00058,https://storing.ingv.it/cfti/cfti5/pdf_R/005290-091411_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-000001_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-000002_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-000003_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-050007_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-052107_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-080937_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-090119_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-090124_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-090127_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-091411_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-096088_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-145052_R.pdf
00062,https://storing.ingv.it/cfti/cfti5/pdf_R/003000-190098_R.pdf
00065,https://storing.ingv.it/cfti/cfti5/pdf_R/003129-000001_R.pdf
00065,https://storing.ingv.it/cfti/cfti5/pdf_R/003129-000002_R.pdf
00065,https://storing.ingv.it/cfti/cfti5/pdf_R/003129-000003_R.pdf
00065,https://storing.ingv.it/cfti/cfti5/pdf_R/003129-090126_R.pdf
00065,https://storing.ingv.it/cfti/cfti5/pdf_R/003129-091411_R.pdf
00072,https://storing.ingv.it/cfti/cfti5/pdf_R/003001-000001_R.pdf
00072,https://storing.ingv.it/cfti/cfti5/pdf_R/003001-000002_R.pdf
00072,https://storing.ingv.it/cfti/cfti5/pdf_R/003001-000003_R.pdf
00072,https://storing.ingv.it/cfti/cfti5/pdf_R/003001-030166_R.pdf
00072,https://storing.ingv.it/cfti/cfti5/pdf_R/003001-090127_R.pdf
00072,https://storing.ingv.it/cfti/cfti5/pdf_R/003001-091411_R.pdf
00072,https://storing.ingv.it/cfti/cfti5/pdf_R/003001-680027_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-000001_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-000002_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-000003_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-010002_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-080937_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090107_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090113_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090120_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090199_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090206_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090216_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090217_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090221_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090222_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090236_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090243_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090270_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090351_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090366_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090367_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090372_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-090401_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-091329_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-091403_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-091404_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-091411_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-096081_R.pdf
00089,https://storing.ingv.it/cfti/cfti5/pdf_R/000013-160059_R.pdf
00100,https://storing.ingv.it/cfti/cfti5/pdf_R/003055-000001_R.pdf
00100,https://storing.ingv.it/cfti/cfti5/pdf_R/003055-000002_R.pdf
00100,https://storing.ingv.it/cfti/cfti5/pdf_R/003055-000003_R.pdf
00100,https://storing.ingv.it/cfti/cfti5/pdf_R/003055-090128_R.pdf
00100,https://storing.ingv.it/cfti/cfti5/pdf_R/003055-091411_R.pdf
00120,https://storing.ingv.it/cfti/cfti5/pdf_R/003337-000001_R.pdf
00120,https://storing.ingv.it/cfti/cfti5/pdf_R/003337-000002_R.pdf
00120,https://storing.ingv.it/cfti/cfti5/pdf_R/003337-000003_R.pdf
00120,https://storing.ingv.it/cfti/cfti5/pdf_R/003337-050007_R.pdf
00120,https://storing.ingv.it/cfti/cfti5/pdf_R/003337-090333_R.pdf
00120,https://storing.ingv.it/cfti/cfti5/pdf_R/003337-091411_R.pdf
00120,https://storing.ingv.it/cfti/cfti5/pdf_R/003337-910514_R.pdf
